Country	City	Company Name	Company Type	Website	Contact Email	Key Contact	Est. Size	Notes
Singapore	Singapore	Nordea Asset Management (SG)	Fund Manager	https://www.nordea.sg	info@nordea.sg	-	-	Nordic heritage; responsible investment focus
Singapore	Singapore	St. James's Place (Asia)	Wealth Management	https://www.sjp.asia/sg	info@sjpasia.com	-	-	UK-based wealth manager expanding in Asia
Singapore	Singapore	Azalea Investment Management	Private Equity	https://www.azalea.com.sg	info@azalea.com.sg	-	-	Temasek subsidiary; PE fund-of-funds
Singapore	Singapore	EDBI	Private Equity	https://www.edbi.com	info@edbi.com	-	-	EDB's investment arm; strategic tech investments
Singapore	Singapore	Syfe	Wealth Management	https://www.syfe.com	support@syfe.com	Dhruv Arora, CEO	-	MAS licensed digital wealth platform. Founded 2017
Singapore	Singapore	Lighthouse Canton	Multi-Family Office	https://www.lighthousecanton.com	info@lighthousecanton.com	-	$3B+ AUM	MAS licensed MFO; India/SE Asia UHNW focus
Singapore	Singapore	Carret Private Investments	Family Office	https://www.carretprivate.com	info@carretprivate.com	-	-	MAS licensed; alternative investments
Singapore	Singapore	Value Partners (Singapore)	Fund Manager	https://www.valuepartners-group.com	info@vp.com.hk	-	-	Asia-focused value investing; MAS licensed
Singapore	Singapore	Trident Trust Singapore	Trust Company	https://www.tridenttrust.com	singapore@tridenttrust.com	-	-	Global trust and corporate services; SG office
Singapore	Singapore	Ascentis	Fund Manager	https://www.ascentis.com.sg	enquiries@ascentis.com.sg	-	-	MAS licensed; real estate and credit strategies
Singapore	Singapore	Raffles Family Office	Multi-Family Office	https://www.rafflesfamilyoffice.com	info@rafflesfamilyoffice.com	-	$2B+ AUM	Asia's leading independent MFO; HK+SG
Singapore	Singapore	Kamet Capital Partners	Fund Manager	https://www.kametcapital.com	info@kametcapital.com	-	-	MAS licensed; multi-strategy alternatives
Singapore	Singapore	Taurus Wealth Advisors	Wealth Management	https://www.tauruswealth.com	info@tauruswealth.com	-	-	MAS licensed; India/MENA/SEA UHNW focus
Singapore	Singapore	iFAST Financial	Wealth Management	https://www.ifastfinancial.com.sg	enquiries@ifastfinancial.com.sg	-	-	IMAS member; wealth mgmt platform/fintech
Singapore	Singapore	Eastspring Investments	Fund Manager	https://www.eastspring.com	info@eastspring.com	-	$258B AUM	Prudential's asset management arm in Asia
Singapore	Singapore	Lion Global Investors	Fund Manager	https://www.lionglobalinvestors.com	contactus@lionglobalinvestors.com	-	$65B AUM	OCBC subsidiary; one of largest SG-based fund managers
Singapore	Singapore	Nikko Asset Management Asia	Fund Manager	https://www.nikkoam.com.sg	sgqueries@nikkoam.com	-	-	IMAS member; Japan-heritage, Asia-focused
Singapore	Singapore	Aberdeen Investments (Singapore)	Fund Manager	https://www.abrdn.com	info@abrdn.com	-	-	IMAS member; global asset manager
Singapore	Singapore	Maitri Asset Management	Fund Manager	https://www.maitriam.com	info@maitriam.com	-	-	MAS licensed boutique; Asian equities
Singapore	Singapore	Capital Group (Singapore)	Fund Manager	https://www.capitalgroup.com	-	-	-	IMAS member; global long-term investor
Singapore	Singapore	Dharma Capital	Fund Manager	-	info@dharmacapital.sg	-	-	MAS licensed; systematic trading strategies
Singapore	Singapore	Old Peak Finance	Wealth Management	https://www.oldpeakfinance.com	info@oldpeakfinance.com	-	-	Independent fee-only financial advisory
Singapore	Singapore	EG Capital Advisors	Fund Manager	https://www.eg-cap.com	info@eg-cap.com	-	-	MAS licensed; Asian credit specialist
Singapore	Singapore	Asia Research & Capital Management	Fund Manager	https://www.arcm.com.sg	info@arcm.com.sg	-	-	MAS licensed; distressed and special situations
Singapore	Singapore	Vanda Global	Fund Manager	https://www.vandaglobal.com	info@vandaglobal.com	-	-	MAS licensed; cross-border alternative investments
Singapore	Singapore	GIC Private Limited	Sovereign Wealth/Fund Mgr	https://www.gic.com.sg	webmaster@gic.com.sg	-	$800B+ AUM	Singapore sovereign wealth fund; reference client for credibility
Singapore	Singapore	ADM Capital	Fund Manager	https://www.admcapital.com	info@admcapital.com	-	$2.5B AUM	MAS licensed; credit and PE focus in Asia
Singapore	Singapore	Grasshopper Capital	Fund Manager	-	info@grasshoppercap.com	-	-	MAS licensed; digital asset strategies
Singapore	Singapore	Wrise Private Singapore	Wealth Management	https://www.wrise.com	info@wrise.com	-	-	MAS licensed; Greater China UHNW focus
Singapore	Singapore	Merlion Advisors	Advisory Firm	-	info@merlionadvisors.com	-	-	Boutique M&A and capital advisory
Singapore	Singapore	Centurion Fund Managers	Fund Manager	-	info@centurion-fm.com	-	-	MAS licensed; boutique alternatives
Singapore	Singapore	Sumitrust Advisory	Wealth Management	https://www.sumitrust.com	info@sumitrust.com	-	-	Japanese heritage; wealth advisory in SG
Singapore	Singapore	Bordier & Cie (Singapore)	Private Bank/Wealth Mgmt	https://www.bordier.com	singapore@bordier.com	-	-	Swiss private bank; SG wealth management
Singapore	Singapore	Crossinvest (Asia)	Multi-Family Office	https://www.crossinvest.com.sg	info@crossinvest.com.sg	-	-	MAS licensed; Swiss-heritage MFO
Singapore	Singapore	Thirdrock Group	Multi-Family Office	https://www.thirdrock.com.sg	info@thirdrock.com.sg	-	-	MAS licensed independent MFO
Singapore	Singapore	Trusted Capital	Family Office	-	info@trustedcapital.sg	-	-	MAS licensed; boutique family office advisory
Singapore	Singapore	Oreana Financial Services	Wealth Management	https://www.oreana.com	info@oreana.com	-	-	Asia-Pacific independent wealth platform
Singapore	Singapore	Sanctum Wealth (Singapore)	Wealth Management	https://www.sanctumwealth.com	info@sanctumwealth.com	-	-	India-origin UHNW wealth advisory; SG presence
Singapore	Singapore	LGT Bank (Singapore)	Private Bank/Wealth Mgmt	https://www.lgt.com	info.sg@lgt.com	-	-	Liechtenstein royal family bank; SG wealth mgmt
Singapore	Singapore	EFG Bank (Singapore)	Private Bank/Wealth Mgmt	https://www.efginternational.com	info@efgbank.com	-	-	Swiss private bank; strong SG wealth presence
Singapore	Singapore	Bank of Singapore	Private Bank/Wealth Mgmt	https://www.bankofsingapore.com	enquiry@bankofsingapore.com	-	$137B AUM	OCBC private bank; top-tier SG wealth manager
Singapore	Singapore	Julius Baer (Singapore)	Private Bank/Wealth Mgmt	https://www.juliusbaer.com	info.singapore@juliusbaer.com	-	-	Swiss private bank; major SG presence
Singapore	Singapore	Lombard Odier (Singapore)	Private Bank/Wealth Mgmt	https://www.lombardodier.com	singapore@lombardodier.com	-	-	Swiss private bank; sustainability-focused wealth
Singapore	Singapore	Union Bancaire Privée (SG)	Private Bank/Wealth Mgmt	https://www.ubp.com	info-singapore@ubp.ch	-	-	Swiss private bank; alternative investments
Singapore	Singapore	VP Bank (Singapore)	Private Bank/Wealth Mgmt	https://www.vpbank.com	info.sg@vpbank.com	-	-	Liechtenstein bank; SG wealth advisory
Australia	Sydney	Bangarra Family Office	Multi-Family Office	https://www.bangarra.com.au	info@bangarra.com.au	Jeff Chapman, Founder	$13B AUM	Level 26, 20 Bond Street. Founded 2000
Australia	Sydney	Stonebridge Family Office	Multi-Family Office	https://www.stonebridge.com.au	info@stonebridge.com.au	Ronnie Dyne, Founder	>$1B AUM	Suite 403, 3 Waverley St, Bondi Junction. 6 families
Australia	Sydney	Marinya Capital	Family Office	-	info@marinyacapital.com.au	John B. Fairfax	$500M-$2B	Fairfax family; 2 Chifley Square. Property, diversified funds
Australia	Sydney	Koda Capital	Wealth Management	https://kodacapital.com	media@kodacapital.com	-	-	Independent; Level 8, 20 Bond Street. Founded 2014. Also operations@kodacapital.com
Australia	Sydney	LGT Crestone Wealth Management	Wealth Management	https://www.lgtcrestone.com.au	info@lgtcrestone.com.au	Michael Chisholm, CEO	-	Level 32, Chifley Tower. HNW/institutional. Ph: +61 2 8422 5500
Australia	Sydney	Anacacia Capital	Private Equity	https://www.anacacia.com.au	info@anacacia.com.au	-	-	Lower mid-market SME specialist; growth and scaling focus
Australia	Sydney	Adamentem Capital	Private Equity	https://www.adamentem.com	info@adamentem.com	-	-	Growth investments; Sydney-based boutique PE
Australia	Sydney	Anchorage Capital Partners	Private Equity	https://www.anchoragecapital.com.au	info@anchoragecapital.com.au	-	A$810M AUM	Operational turnarounds and transformational investments
Australia	Sydney	Quadrant Private Equity	Private Equity	https://www.quadrantpe.com.au	info@quadrantpe.com.au	-	A$1.5B+ raised	Founded 2006; buyouts and growth partnerships
Australia	Sydney	Crescent Capital Partners	Private Equity	https://www.crescentcap.com.au	info@crescentcap.com.au	-	-	Mid-market (A$50-300M EV); multi-strategy active ownership
Australia	Sydney	Bennelong Private Wealth	Wealth Management	https://bennelongprivatewealth.com.au	info@bennelongpw.com.au	-	-	Private wealth boutique; York Street Sydney
Australia	Sydney	Allied Wealth	Wealth Management	https://www.alliedwealth.com.au	info@alliedwealth.com.au	-	-	Boutique independent; 14 Martin Place. AFSL 528160
Australia	Sydney	Quantum Financial	Wealth Management	https://www.quantumfinancial.com.au	info@quantumfinancial.com.au	-	-	Independent adviser; Chatswood. AFSL 239200
Australia	Sydney	Financial Spectrum	Wealth Management	https://financialspectrum.com.au	info@financialspectrum.com.au	-	-	Fee-for-service; Sydney CBD, Balmain, Bondi Junction, Chatswood
Australia	Sydney	Wealth Simplicity	Wealth Management	https://www.wealthsimplicity.com	info@wealthsimplicity.com	-	-	Fee-based boutique; Hunter St Sydney. AFSL 513615
Australia	Sydney	Roc Partners	Private Equity	https://www.rocpartners.com	info@rocpartners.com	-	A$9B AUM	Offices Sydney+Melbourne; PE, credit, real assets. Sustainability focus
Australia	Sydney	Vantage Asset Management	Private Equity	https://www.vantageasset.com.au	info@vantageasset.com.au	-	-	Sydney+Melbourne; PE fund-of-funds and co-investments
Australia	Sydney	Strategy First Financial Planning	Wealth Management	https://www.strategyfirst.com.au	info@strategyfirst.com.au	-	-	Fee-for-service since 2005; AFSL 290771; Northern Beaches
Australia	Sydney	Arc Financial Solutions	Wealth Management	https://www.arcfs.com.au	info@arcfs.com.au	-	-	Boutique independent; Neutral Bay. AFSL 319288
Australia	Sydney	Garnaut Private Wealth	Wealth Management	https://www.garnaut.com.au	info@garnaut.com.au	-	-	Boutique independent AFSL holder
Australia	Sydney	Sandbar Investments	Family Office	-	info@sandbarinvestments.com.au	-	$120M AUM	Barry & Sandra Smorgon family
Australia	Melbourne	Escala Partners	Multi-Family Office	https://escalapartners.com.au	information@escalapartners.com.au	-	-	Level 19, 90 Collins St. Founded 2013. Acquired by Focus Financial 2019
Australia	Melbourne	Portland House Group	Family Office	-	info@portlandhouse.com.au	-	$2.4B AUM	Global equities, fixed income, currencies, derivatives
Australia	Melbourne	LJCB Investment Group	Family Office	-	info@ljcb.com.au	-	$2B AUM	Liberman family; 127 Collins St. Real estate, technology
Australia	Melbourne	Mutual Trust	Multi-Family Office	https://www.mutualtrust.com.au	info@mutualtrust.com.au	-	-	Baillieu & Myer families; wealth mgmt, tax, agribusiness, philanthropy
Australia	Melbourne	Cashel Family Office	Family Office	https://www.cashelfamilyoffice.com.au	info@cashelfamilyoffice.com.au	-	-	Investment mgmt, financial advice, debt advisory, IPOs
Australia	Melbourne	Pemba Capital Partners	Private Equity	https://pemba.com.au	info@pemba.com.au	-	-	High-growth entrepreneurial businesses; equity for scaling
Australia	Melbourne	Equion Capital	Boutique Investment Bank	https://www.equion.com.au	info@equion.com.au	-	-	Boutique investment bank; mid-market M&A advisory
Australia	Melbourne	Boutique Capital	Wealth Management	https://www.boutiquecapital.com.au	info@boutiquecapital.com.au	-	-	Boutique investment advisory firm
Australia	Perth	Tattarang	Family Office	https://www.tattarang.com	info@tattarang.com	Andrew Forrest, Chairman	$1B+ AUM	Forrest family; agri-food, energy, resources, property, lifestyle
Australia	Perth	Candor Family Office	Multi-Family Office	-	info@candorfo.com.au	-	~$5B AUM	UHNW focus; Office 13, 40 St Quentin Ave, Claremont
Australia	Perth	Australian Capital Equity	Family Office	-	info@austcapeq.com.au	-	$2B AUM	Stokes family; 3/30 Kings Park Rd, West Perth
Australia	Perth	Boutique Advisers	Wealth Management	https://boutiqueadvisers.com.au	info@boutiqueadvisers.com.au	-	-	Own AFSL; fee-only since 1991
Australia	Brisbane	EWM Group	Multi-Family Office	https://www.ewmgroup.com.au	info@ewmgroup.com.au	-	$10B AUM	Independent multi-family office
Australia	Sydney	The Wealth Designers	Wealth Management	https://twd.com.au	info@twd.com.au	-	-	Sydney+Perth; boutique financial planning
Australia	Sydney	Liquidityfp	Wealth Management	https://www.liquidityfp.com.au	info@liquidityfp.com.au	-	-	Explicitly independent; Sutherland. AFSL 293538
Australia	Sydney	Peter White Financial Planning	Wealth Management	https://peterwhitefp.com.au	info@peterwhitefp.com.au	Peter White	-	Independent; Martin Place Sydney. AFSL 464629
Australia	Sydney	Mintwell	Wealth Management	https://www.mintwell.com.au	info@mintwell.com.au	-	-	Boutique independent; Castlereagh St
Australia	Sydney	Naked Wealth Advisory	Wealth Management	https://www.nakedwealth.net.au	info@nakedwealth.net.au	-	-	Fee-only model; Narrabeen
Australia	Sydney	Sydney Financial Planning	Wealth Management	https://www.sydneyfinancialplanning.com.au	info@sydneyfinancialplanning.com.au	-	-	Sydney-focused independent advisory
Australia	Sydney	Affirmative Financial	Wealth Management	https://affirmativefs.com.au	info@affirmativefs.com.au	-	-	Portfolio and retirement planning focus
Australia	Melbourne	Adams & Associates	Wealth Management	-	info@adamsassociates.com.au	-	-	BFP member; boutique financial planning
Australia	Melbourne	Armstrongs Financial	Wealth Management	-	info@armstrongsfinancial.com.au	-	-	BFP member; boutique financial planning
Australia	Melbourne	Beresfords Wealth Management	Wealth Management	-	info@beresfords.com.au	-	-	BFP member; boutique wealth management
Australia	Melbourne	Ballinger's Financial	Wealth Management	-	info@ballingers.com.au	-	-	BFP member; boutique financial planning
Australia	Sydney	Independent Wealth Advice	Wealth Management	https://www.iwadvice.com.au	info@iwadvice.com.au	-	-	14 Martin Place; shares AFSL 528160 with Allied Wealth
Australia	Sydney	The Professional Super Advisers	Wealth Management	https://thepsa.com.au	info@thepsa.com.au	-	-	Super-focused independent; North Sydney. AFSL 321895
Australia	Sydney	Evolution Financial Planning	Wealth Management	https://www.evolutionfinancial.com.au	info@evolutionfinancial.com.au	-	-	Independent; AFSL 412063; Ballina NSW
Australia	Sydney	Pacific Equity Partners	Private Equity	https://www.pep.com.au	info@pep.com.au	-	A$17B AUM	Largest Australian PE firm; mid-to-large market buyouts
Australia	Melbourne	Reach Alternatives	Wealth Management	https://www.reachalts.com.au	info@reachalts.com.au	-	-	Alternative investment access for wealth advisers
Australia	Melbourne	Five V Capital	Private Equity	https://www.fivevcapital.com	info@fivevcapital.com	-	-	Melbourne-based growth PE; technology and services
Australia	Sydney	Allegro Funds	Private Equity	https://www.allegrofunds.com.au	info@allegrofunds.com.au	-	-	Australian mid-market private equity
Australia	Sydney	Ellerston Capital	Fund Manager	https://www.ellerstoncapital.com	info@ellerstoncapital.com	-	$5B+ AUM	Packer family heritage; multi-strategy alternatives
Australia	Sydney	Magellan Financial Group	Fund Manager	https://www.magellangroup.com.au	info@magellangroup.com.au	-	$35B+ AUM	Leading Australian global equity and infrastructure manager
Australia	Sydney	Platinum Asset Management	Fund Manager	https://www.platinum.com.au	invest@platinum.com.au	-	$14B+ AUM	International equity specialist; Sydney HQ
Australia	Melbourne	Airlie Funds Management	Fund Manager	https://www.airliefundsmanagement.com.au	info@airliefm.com.au	-	-	Australian equities specialist; Magellan subsidiary
Australia	Sydney	Cooper Investors	Fund Manager	https://www.cooperinvestors.com	info@cooperinvestors.com	-	$10B+ AUM	Value-oriented global equity manager
Australia	Melbourne	L1 Capital	Fund Manager	https://www.l1.com.au	info@l1.com.au	-	$7B+ AUM	Long-short equity specialist; Melbourne-based
Australia	Sydney	Paradice Investment Management	Fund Manager	https://www.paradice.com	info@paradice.com	-	$15B+ AUM	Australian and global equities; independent
Australia	Sydney	Perpetual Private	Wealth Management	https://www.perpetual.com.au	info@perpetual.com.au	-	$23B+ AUM	Legacy Australian wealth and trust services
Australia	Sydney	Firetrail Investments	Fund Manager	https://www.firetrailinvest.com	info@firetrailinvest.com	-	-	Australian/global equities; independent
Australia	Sydney	Tribeca Investment Partners	Fund Manager	https://www.tribecaip.com	info@tribecaip.com	-	-	Australian equities; alternative strategies
Australia	Melbourne	Atchison Consultants	Advisory Firm	https://www.atchison.com.au	info@atchison.com.au	-	-	Investment consulting for wealth advisers
Australia	Sydney	Dimensional Fund Advisors (AU)	Fund Manager	https://www.dimensional.com	info@dimensional.com	-	-	Evidence-based investing; significant AU presence
Australia	Sydney	Pengana Capital Group	Fund Manager	https://www.pengana.com	info@pengana.com	-	$3.5B+ AUM	Global and alternative investment strategies
Australia	Melbourne	Lonsec Investment Solutions	Advisory Firm	https://www.lonsec.com.au	info@lonsec.com.au	-	-	Investment research and advisory for financial advisers
Australia	Sydney	Zenith Investment Partners	Advisory Firm	https://www.zenithpartners.com.au	info@zenithpartners.com.au	-	-	Fund research and investment consulting
Australia	Melbourne	Spire Capital	Boutique Investment Bank	https://www.spirecapital.com.au	info@spirecapital.com.au	-	-	Boutique corporate advisory; mid-market M&A
New Zealand	Auckland	Craigs Investment Partners	Wealth Management	https://craigsip.com	headoffice@craigsip.com	-	-	NZ's largest NZX firm; nationwide. Ph: 0800 272 442
New Zealand	Auckland	Jarden	Wealth Management	https://www.jarden.co.nz	info@jarden.co.nz	-	-	Major NZ investment bank; wealth management, advisory
New Zealand	Dunedin	Forsyth Barr	Wealth Management	https://www.forsythbarr.co.nz	info@forsythbarr.co.nz	-	-	Full-service investment firm; NZ-wide offices
New Zealand	Auckland	Hobson Wealth Partners	Wealth Management	https://www.hobsonwealth.co.nz	info@hobsonwealth.co.nz	-	-	Portfolio management, sharebroking, financial planning. Est. 2016
New Zealand	Auckland	Milford Asset Management	Fund Manager	https://milfordasset.com	info@milfordasset.com	-	$18B+ AUM	NZ's largest independent fund manager
New Zealand	Auckland	Fisher Funds Management	Fund Manager	https://fisherfunds.co.nz	info@fisherfunds.co.nz	-	$15B+ AUM	Major NZ fund manager; KiwiSaver provider
New Zealand	Auckland	Devon Funds Management	Fund Manager	https://devonfunds.co.nz	info@devonfunds.co.nz	-	-	NZ asset management; equities and fixed income
New Zealand	Auckland	Harbour Asset Management	Fund Manager	https://www.harbourasset.co.nz	info@harbourasset.co.nz	-	$5B+ AUM	NZ equities, fixed income, multi-asset
New Zealand	Auckland	Salt Funds Management	Fund Manager	https://www.saltfunds.co.nz	info@saltfunds.co.nz	Matthew Goodson, MD	-	NZ long/short equities; boutique manager
New Zealand	Auckland	Pathfinder Asset Management	Fund Manager	https://www.pathfinder.kiwi	info@pathfinder.kiwi	John Berry, CEO	-	Ethical/responsible investment specialist
New Zealand	Auckland	Pie Funds Management	Fund Manager	https://www.piefunds.co.nz	info@piefunds.co.nz	Mike Taylor, CEO	$2.5B+ AUM	Growth investing; KiwiSaver provider
New Zealand	Auckland	Kernel Wealth	Fund Manager	https://kernelwealth.co.nz	hello@kernelwealth.co.nz	Dean Anderson, CEO	-	Low-cost index funds; digital platform
New Zealand	Auckland	Simplicity	Fund Manager	https://simplicity.kiwi	hello@simplicity.kiwi	Sam Stubbs, CEO	$6B+ AUM	Non-profit KiwiSaver; low-fee model
New Zealand	Auckland	Generate	Fund Manager	https://www.generatewealth.co.nz	info@generatewealth.co.nz	-	$4B+ AUM	KiwiSaver specialist; managed funds
New Zealand	Auckland	Nikko Asset Management NZ	Fund Manager	https://www.nikkoam.co.nz	nzenquiries@nikkoam.com	-	-	Japan-heritage; NZ equities and bonds
New Zealand	Auckland	Castle Point Funds Management	Fund Manager	https://www.castlepointfunds.co.nz	info@castlepointfunds.co.nz	-	-	Boutique NZ equities and fixed income
New Zealand	Auckland	Mint Asset Management	Fund Manager	https://www.mintasset.co.nz	info@mintasset.co.nz	-	-	Boutique NZ fund manager; equities and income
New Zealand	Auckland	Booster	Fund Manager	https://www.booster.co.nz	info@booster.co.nz	-	$11B+ AUM	KiwiSaver; investment funds. Formerly Grosvenor
New Zealand	Wellington	NZ Funds Private Wealth	Wealth Management	https://www.nzfunds.co.nz	info@nzfunds.co.nz	-	-	Level 3, 40 Johnston St. Ph: 04 473 7701
New Zealand	Auckland	Armillary Private Capital	Investment Bank	https://www.armillary.co.nz	info@armillary.co.nz	-	-	NZ's leading independent corporate advisory firm
New Zealand	Christchurch	Murray & Co	Investment Bank	https://www.murrayandco.co.nz	info@murrayandco.co.nz	-	-	Christchurch-based corporate advisory
New Zealand	Auckland	Northington Partners	Investment Bank	https://www.northington.co.nz	info@northington.co.nz	-	-	Independent M&A and corporate advisory
New Zealand	Auckland	Compound Wealth	Wealth Management	https://www.compoundwealth.co.nz	info@compoundwealth.co.nz	-	-	Mount Maunganui; KiwiSaver, investments, bespoke plans
New Zealand	Auckland	Opes Partners	Advisory Firm	https://www.opespartners.co.nz	info@opespartners.co.nz	-	-	Property investment advisory; wealth building
